지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),지면온도(°C)
90,속초,2023-04-29 01:00,16.5,,1.5,340,67,1008.2,,,,10,15.3
90,속초,2023-04-29 02:00,16.9,,.9,320,65,1007.6,,,,10,15.2
90,속초,2023-04-29 03:00,15.9,0,.8,20,71,1007,,,,10,15.1
90,속초,2023-04-29 04:00,14.4,.3,2,360,82,1006.3,,,,10,14.5
90,속초,2023-04-29 05:00,12.9,.1,1.4,340,86,1006.2,,,,10,14.1
90,속초,2023-04-29 06:00,12.5,.4,.9,320,92,1005.9,0,,,9,13.8
90,속초,2023-04-29 07:00,12.8,1.1,.2,0,94,1005.4,0,,,10,14.2
90,속초,2023-04-29 08:00,12.8,0,.1,0,94,1004.7,0,,,10,14.4
90,속초,2023-04-29 09:00,13.7,0,.1,0,94,1003.1,0,,,10,15.5
90,속초,2023-04-29 10:00,14.1,0,.3,0,92,1002.1,0,,,10,16.2
90,속초,2023-04-29 11:00,13.7,.2,1.2,360,93,1001.1,0,,,10,15.9
90,속초,2023-04-29 12:00,13.8,.6,.4,0,95,999.8,0,,,10,16.6
90,속초,2023-04-29 13:00,13.8,.2,.8,90,95,999.1,0,,,9,16.4
90,속초,2023-04-29 14:00,13.8,0,2.7,360,92,999.6,0,,,9,17.3
90,속초,2023-04-29 15:00,12.1,0,4.1,360,91,998.4,.2,,,9,18.1
90,속초,2023-04-29 16:00,11.4,,4.4,360,89,998.1,.2,,,8,16.3
90,속초,2023-04-29 17:00,11.6,,3.6,360,87,998.4,.8,,,8,17.1
90,속초,2023-04-29 18:00,10.7,,3.5,340,88,998.8,.7,,,7,14.3
90,속초,2023-04-29 19:00,11.7,,.9,340,82,999.3,0,,,8,13.4
90,속초,2023-04-29 20:00,14.6,,2.5,250,48,999.4,0,,,7,12.4
90,속초,2023-04-29 21:00,13.9,,2.9,290,52,999.9,,,,6,11.8
90,속초,2023-04-29 22:00,13.6,,2.8,270,52,1000.5,,,,6,11.6
90,속초,2023-04-29 23:00,13,,2.7,250,54,1000.9,,,,8,11.3
90,속초,2023-04-30 00:00,12.8,,2.3,290,57,1001,,,,7,11.1
90,속초,2023-04-30 01:00,12.5,,2.7,270,57,1000.7,,,,6,10.9
90,속초,2023-04-30 02:00,12.4,,1.4,270,53,1000.4,,,,1,10
90,속초,2023-04-30 03:00,12,,.8,200,50,1000.4,,,,0,9.2
90,속초,2023-04-30 04:00,12.5,,3.3,270,43,1000.3,,,,0,8.8
90,속초,2023-04-30 05:00,11.8,,1.2,250,44,1001,,,,0,8.3
90,속초,2023-04-30 06:00,12,,3.4,340,43,1001.8,.2,,,0,8.3
90,속초,2023-04-30 07:00,12.9,,2.7,320,40,1002.6,1,,,0,9.1
90,속초,2023-04-30 08:00,13.8,,3.2,290,38,1003.6,1,,,0,11.6
90,속초,2023-04-30 09:00,15,,4.3,290,36,1004.2,1,,,0,13.4
90,속초,2023-04-30 10:00,16.4,,4.2,290,33,1004.5,1,,,0,16.5
90,속초,2023-04-30 11:00,17.4,,3,290,32,1004.5,1,,,0,21.6
90,속초,2023-04-30 12:00,19,,2.1,270,30,1004.3,1,,,0,25.9
90,속초,2023-04-30 13:00,18.9,,2.6,290,33,1004,1,,,0,26.9
90,속초,2023-04-30 14:00,19.4,,5.2,270,32,1003.9,1,,,8,27.7
90,속초,2023-04-30 15:00,20,,2.7,270,34,1004.1,1,,,8,29
90,속초,2023-04-30 16:00,19.2,,1.4,180,34,1003.5,1,,,6,26.7
90,속초,2023-04-30 17:00,18,,3.7,270,36,1002.8,1,,,7,23.5
90,속초,2023-04-30 18:00,17.8,,5,270,33,1002.6,1,,,6,19.4
90,속초,2023-04-30 19:00,17.5,,2.8,250,34,1003.7,.6,,,6,16.7
90,속초,2023-04-30 20:00,17,,1.6,90,35,1004.4,0,,,8,14.9
90,속초,2023-04-30 21:00,16.9,,1.5,290,36,1005.5,,,,6,14.1
90,속초,2023-04-30 22:00,16.3,,1.6,340,41,1006.4,,,,8,13.4
90,속초,2023-04-30 23:00,15.4,,.7,360,47,1006.8,,,,9,13.2
90,속초,2023-05-01 00:00,11.7,0,3.9,340,60,1007.7,,,,9,12.7
93,북춘천,2023-04-29 01:00,13.5,.8,.2,0,98,1001,,,,10,15
93,북춘천,2023-04-29 02:00,13.5,1.5,.3,0,100,1000.1,,,,10,14.8
93,북춘천,2023-04-29 03:00,13.4,4.2,.4,0,100,999,,,,10,14.5
93,북춘천,2023-04-29 04:00,13.4,3.1,.1,0,100,998,,,,10,14.3
93,북춘천,2023-04-29 05:00,13.3,4.4,.7,140,100,997.2,,,,10,14.3
93,북춘천,2023-04-29 06:00,13.3,2.9,.9,270,100,996.4,0,0,,10,14.1
93,북춘천,2023-04-29 07:00,13.5,1.3,.5,160,100,996,0,.02,,10,14.5
93,북춘천,2023-04-29 08:00,13.6,.5,.7,110,100,995.5,0,.04,,10,14.6
93,북춘천,2023-04-29 09:00,13.8,1.5,.8,290,100,994.5,0,.11,,10,14.8
93,북춘천,2023-04-29 10:00,14.3,6.2,.4,0,100,994.1,0,.09,,10,15
93,북춘천,2023-04-29 11:00,14.4,1.5,1.1,110,100,993.3,0,.14,,10,15.3
93,북춘천,2023-04-29 12:00,14.7,1.6,1.4,70,100,992.8,0,.15,,10,15.6
93,북춘천,2023-04-29 13:00,15.1,.8,2.7,180,96,993.1,0,.2,,10,15.6
93,북춘천,2023-04-29 14:00,14.9,.1,1.6,140,95,992.3,0,.25,,10,15.3
93,북춘천,2023-04-29 15:00,15.6,.1,3.8,200,87,991.9,.2,.56,,10,16.3
93,북춘천,2023-04-29 16:00,14.6,0,3.9,230,87,992.7,.2,.68,,10,16.5
93,북춘천,2023-04-29 17:00,14.2,0,2.9,200,80,992.8,.1,.71,,9,15.9
93,북춘천,2023-04-29 18:00,13.6,,4.3,200,73,993.1,0,.29,,9,13.8
93,북춘천,2023-04-29 19:00,12.7,,5.6,230,70,992.9,0,.14,,9,11.8
93,북춘천,2023-04-29 20:00,11.9,,5.2,200,74,994,0,.01,,4,11.3
93,북춘천,2023-04-29 21:00,11.4,,5.5,230,72,995,,,,4,10.6
